store_location_key,region,province,city,postal_code,banner,store_num
2915,"NA","NEW BRUNSWICK","SAINT JOHN","NA","dc35b695",2915
6930,"NA","ONTARIO","SCARBOROUGH","NA","6e36648",6930
6909,"NA","ONTARIO","SCARBOROUGH","NA","6e36648",6909
7215,"NA","ALBERTA","FORT SASKATCHEWAN","NA","6e36648",7215
3012,"NA","ONTARIO","TORONTO","NA","dc35b695",3012
7309,"NA","SASKATCHEWAN","SHAUNAVON","NA","6e36648",7309
7408,"NA","MANITOBA","WINNIPEG","NA","6e36648",7408
1123,"NA","ONTARIO","HAMILTON","NA","dc35b695",1123
554,"NA","ONTARIO","BRIGHTON","NA","dc35b695",554
8644,"NA","ALBERTA","EDMONTON","NA","235704e1",8644
5107,"NA","ONTARIO","ALYMER","NA","6e36648",5107
7145,"NA","BRITISH COLUMBIA","LANGLEY","NA","6e36648",7145
448,"NA","ONTARIO","CHATHAM","NA","dc35b695",448
2063,"NA","ONTARIO","ETOBICOKE","NA","dc35b695",2063
4960,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4960
7139,"NA","BRITISH COLUMBIA","COLWOOD","NA","6e36648",7139
7195,"NA","BRITISH COLUMBIA","MAPLE RIDGE","NA","6e36648",7195
2220,"NA","ONTARIO","SMITHS FALLS","NA","dc35b695",2220
1693,"NA","ONTARIO","OTTAWA","NA","dc35b695",1693
2250,"NA","ONTARIO","MARKHAM","NA","dc35b695",2250
9303,"NA","BRITISH COLUMBIA","WEST","NA","4d8ba31a",9303
9606,"NA","ONTARIO","HAMILTON","NA","6e36648",9606
1867,"NA","ONTARIO","LONDON","NA","dc35b695",1867
2287,"NA","ONTARIO","TORONTO","NA","dc35b695",2287
7268,"NA","ALBERTA","COCHRANE","NA","6e36648",7268
7193,"NA","BRITISH COLUMBIA","KELOWNA","NA","6e36648",7193
204,"NA","ONTARIO","HAMILTON","NA","dc35b695",204
7512,"NA","ALBERTA","COLEMAN","NA","6e36648",7512
1032,"NA","ONTARIO","LONDON","NA","dc35b695",1032
8554,"NA","ONTARIO","NEWMARKET","NA","235704e1",8554
5028,"NA","ONTARIO","LONDON","NA","b2e9116e",5028
9805,"NA","ALBERTA","CALGARY","NA","6e36648",9805
7506,"NA","ALBERTA","ROCKY MOUNTAIN HOUSE","NA","6e36648",7506
851,"NA","ONTARIO","TORONTO","NA","dc35b695",851
8154,"NA","ONTARIO","TORONTO","NA","6e36648",8154
1354,"NA","ONTARIO","OTTAWA","NA","dc35b695",1354
6939,"NA","ONTARIO","SUDBURY","NA","6e36648",6939
8203,"NA","ONTARIO","BRANTFORD","NA","6e36648",8203
8548,"NA","BRITISH COLUMBIA","ABBOTSFORD","NA","235704e1",8548
8530,"NA","ONTARIO","BARRIE","NA","235704e1",8530
8625,"NA","ALBERTA","EDMONTON","NA","235704e1",8625
2121,"NA","ONTARIO","LINDSAY","NA","dc35b695",2121
6911,"NA","ONTARIO","PETERBOROUGH","NA","6e36648",6911
1479,"NA","ONTARIO","OTTAWA","NA","dc35b695",1479
1495,"NA","ONTARIO","OTTAWA","NA","dc35b695",1495
6905,"NA","ONTARIO","LONGLAC","NA","6e36648",6905
539,"NA","ONTARIO","SMITHS FALLS","NA","dc35b695",539
8533,"NA","MANITOBA","WINNIPEG","NA","235704e1",8533
8620,"NA","ONTARIO","SHERWOOD PARK","NA","235704e1",8620
8608,"NA","ALBERTA","ST. ALBERT","NA","235704e1",8608
7255,"NA","ALBERTA","EDMONTON","NA","6e36648",7255
920,"NA","ONTARIO","TORONTO","NA","dc35b695",920
8145,"NA","ONTARIO","TORONTO","NA","6e36648",8145
422,"NA","ONTARIO","BEAMSVILLE","NA","dc35b695",422
6984,"NA","ONTARIO","VAUGHAN","NA","6e36648",6984
6945,"NA","ONTARIO","NAPANEE","NA","6e36648",6945
8655,"NA","BRITISH COLUMBIA","VICTORIA","NA","235704e1",8655
1115,"NA","ONTARIO","STONEY CREEK","NA","dc35b695",1115
8661,"NA","NEW BRUNSWICK","SHEDIAC","NA","235704e1",8661
7507,"NA","ALBERTA","BEAVERLODGE","NA","6e36648",7507
7214,"NA","ALBERTA","LEDUC","NA","6e36648",7214
7284,"NA","ALBERTA","CALGARY","NA","6e36648",7284
7171,"NA","BRITISH COLUMBIA","WHITEROCK","NA","6e36648",7171
2444,"NA","ONTARIO","OAKVILLE","NA","dc35b695",2444
3913,"NA","NOVA SCOTIA","BRIDGEWATER","NA","dc35b695",3913
513,"NA","ONTARIO","SMITHS FALLS","NA","dc35b695",513
9995,"NA","SASKATCHEWAN","SASK","NA","6e36648",9995
6940,"NA","ONTARIO","TORONTO","NA","6e36648",6940
1891,"NA","ONTARIO","WALLACEBURG","NA","dc35b695",1891
1339,"NA","ONTARIO","ERIN","NA","dc35b695",1339
4817,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4817
7104,"NA","BRITISH COLUMBIA","PORT HARDY","NA","6e36648",7104
7116,"NA","BRITISH COLUMBIA","WHISTLER","NA","6e36648",7116
521,"NA","ONTARIO","SMITHS FALLS","NA","dc35b695",521
802,"NA","ONTARIO","TORONTO","NA","dc35b695",802
2196,"NA","ONTARIO","CALEDONIA","NA","dc35b695",2196
9103,"NA","BRITISH COLUMBIA","WEST","NA","4d8ba31a",9103
8165,"NA","ONTARIO","TORONTO","NA","6e36648",8165
1875,"NA","ONTARIO","LONDON","NA","dc35b695",1875
1321,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",1321
4813,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4813
7123,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7123
7192,"NA","BRITISH COLUMBIA","CHILLIWACK","NA","6e36648",7192
1677,"NA","ONTARIO","BROCKVILLE","NA","dc35b695",1677
4952,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4952
893,"NA","ONTARIO","TORONTO","NA","dc35b695",893
9102,"NA","ONTARIO","TORONTO","NA","4d8ba31a",9102
6902,"NA","ONTARIO","SUDBURY","NA","6e36648",6902
7216,"NA","ALBERTA","FORT SASKATCHEWAN","NA","6e36648",7216
7208,"NA","ALBERTA","BARRHEAD","NA","6e36648",7208
7283,"NA","ALBERTA","CALGARY","NA","6e36648",7283
7406,"NA","MANITOBA","ALTONA","NA","6e36648",7406
2071,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",2071
1511,"NA","ONTARIO","OTTAWA","NA","dc35b695",1511
8519,"NA","SASKATCHEWAN","SASKATOON","NA","235704e1",8519
6908,"NA","ONTARIO","NEPEAN","NA","6e36648",6908
7112,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7112
7206,"NA","ALBERTA","VALLEYVIEW","NA","6e36648",7206
729,"NA","ONTARIO","NORTH YORK","NA","dc35b695",729
7274,"NA","ALBERTA","MEDICINE HAT","NA","6e36648",7274
7302,"NA","SASKATCHEWAN","KAMSACK","NA","6e36648",7302
8185,"NA","ONTARIO","ORLEANS","NA","6e36648",8185
265,"NA","ONTARIO","TORONTO","NA","dc35b695",265
8552,"NA","ONTARIO","HAMILTON","NA","235704e1",8552
5104,"NA","ONTARIO","KINGSVILLE","NA","6e36648",5104
6975,"NA","ONTARIO","SAULT STE. MARIE","NA","6e36648",6975
1795,"NA","ONTARIO","LONDON","NA","dc35b695",1795
273,"NA","ONTARIO","TORONTO","NA","dc35b695",273
7234,"NA","ALBERTA","SHERWOOD PARK","NA","6e36648",7234
7121,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7121
7149,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7149
7257,"NA","ALBERTA","EDMONTON","NA","6e36648",7257
2147,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",2147
8635,"NA","ONTARIO","OTTAWA","NA","235704e1",8635
5003,"NA","ONTARIO","RICHMOND HILL","NA","b2e9116e",5003
9807,"NA","ALBERTA","EDMONTON","NA","6e36648",9807
7221,"NA","ALBERTA","SYLVAN LAKE","NA","6e36648",7221
257,"NA","ONTARIO","TORONTO","NA","dc35b695",257
6949,"NA","ONTARIO","BRAMPTON","NA","6e36648",6949
8189,"NA","ONTARIO","OTTAWA","NA","dc35b695",8189
6927,"NA","ONTARIO","SUDBURY","NA","6e36648",6927
8184,"NA","ONTARIO","ST CATHERINES","NA","6e36648",8184
8516,"NA","BRITISH COLUMBIA","VANCOUVER","NA","235704e1",8516
8667,"NA","NEW BRUNSWICK","SUSSEX","NA","235704e1",8667
8589,"NA","ALBERTA","EDMONTON","NA","235704e1",8589
968,"NA","ONTARIO","STRATFORD","NA","dc35b695",968
2386,"NA","ONTARIO","BRAMPTON","NA","dc35b695",2386
4887,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4887
7128,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7128
7170,"NA","BRITISH COLUMBIA","WHITEROCK","NA","6e36648",7170
7159,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7159
1214,"NA","ONTARIO","GLOUCESTER","NA","dc35b695",1214
4879,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4879
5025,"NA","ONTARIO","SUDBURY","NA","b2e9116e",5025
6938,"NA","ONTARIO","BRAMPTON","NA","6e36648",6938
166,"NA","ONTARIO","HUNTSVILLE","NA","dc35b695",166
6982,"NA","ONTARIO","TORONTO","NA","6e36648",6982
6931,"NA","ONTARIO","GRAVENHURST","NA","6e36648",6931
95,"NA","ONTARIO","ORLEANS","NA","dc35b695",95
6973,"NA","ONTARIO","SAULT STE. MARIE","NA","6e36648",6973
2253,"NA","ONTARIO","BELLEVILLE","NA","dc35b695",2253
8553,"NA","ALBERTA","BROOKS","NA","235704e1",8553
8660,"NA","ALBERTA","CALGARY","NA","235704e1",8660
8632,"NA","PRINCE EDWARD ISLAND","O'LEARY","NA","235704e1",8632
711,"NA","ONTARIO","SCARBOROUGH","NA","dc35b695",711
8150,"NA","ONTARIO","CHATHAM","NA","6e36648",8150
1685,"NA","ONTARIO","PORT ELGIN","NA","dc35b695",1685
6953,"NA","ONTARIO","SIOUX LOOKOUT","NA","6e36648",6953
6954,"NA","ONTARIO","AZILDA","NA","6e36648",6954
7310,"NA","SASKATCHEWAN","EASTEND","NA","6e36648",7310
8623,"NA","ONTARIO","BURLINGTON","NA","235704e1",8623
8561,"NA","ALBERTA","VEGREVILLE","NA","235704e1",8561
8534,"NA","ONTARIO","TORONTO","NA","235704e1",8534
7515,"NA","ALBERTA","CALGARY","NA","6e36648",7515
6921,"NA","ONTARIO","SCARBOROUGH","NA","6e36648",6921
6993,"NA","ONTARIO","TORONTO","NA","6e36648",6993
1156,"NA","ONTARIO","GLOUCESTER","NA","dc35b695",1156
6936,"NA","ONTARIO","NIPIGON","NA","6e36648",6936
1206,"NA","ONTARIO","ALMONTE","NA","dc35b695",1206
8609,"NA","ONTARIO","OAKVILLE","NA","235704e1",8609
8567,"NA","ALBERTA","SPRUCE GROVE","NA","235704e1",8567
8656,"NA","ONTARIO","GRIMSBY","NA","235704e1",8656
1537,"NA","ONTARIO","SUDBURY","NA","dc35b695",1537
299,"NA","ONTARIO","TORONTO","NA","dc35b695",299
7285,"NA","ALBERTA","CALGARY","NA","6e36648",7285
7122,"NA","BRITISH COLUMBIA","KAMLOOPS","NA","6e36648",7122
1651,"NA","ONTARIO","FORT ERIE","NA","dc35b695",1651
7305,"NA","SASKATCHEWAN","SASKATOON","NA","6e36648",7305
4818,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4818
8602,"NA","ALBERTA","EDMONTON","NA","235704e1",8602
9403,"NA","BRITISH COLUMBIA","WEST","NA","4d8ba31a",9403
1503,"NA","ONTARIO","OSHAWA","NA","dc35b695",1503
836,"NA","ONTARIO","TORONTO","NA","dc35b695",836
7287,"NA","ALBERTA","CALGARY","NA","6e36648",7287
6959,"NA","ONTARIO","BARRIE","NA","6e36648",6959
1750,"NA","ONTARIO","PARIS","NA","dc35b695",1750
7227,"NA","ALBERTA","SPRUCE GROVE","NA","6e36648",7227
3004,"NA","ONTARIO","TORONTO","NA","dc35b695",3004
8528,"NA","ALBERTA","MEDICINE HAT","NA","235704e1",8528
9502,"NA","ONTARIO","TORONTO","NA","4d8ba31a",9502
1909,"NA","ONTARIO","AMHERSTBURG","NA","dc35b695",1909
119,"NA","ONTARIO","TORONTO","NA","dc35b695",119
7236,"NA","ALBERTA","EDMONTON","NA","6e36648",7236
7133,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7133
1560,"NA","ONTARIO","STONEY CREEK","NA","dc35b695",1560
7203,"NA","ALBERTA","WHITECOURT","NA","6e36648",7203
4853,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4853
8514,"NA","ALBERTA","EDMONTON","NA","235704e1",8514
5006,"NA","ONTARIO","PICKERING","NA","b2e9116e",5006
9801,"NA","ALBERTA","EDMONTON","NA","6e36648",9801
1842,"NA","ONTARIO","ACTON","NA","dc35b695",1842
4846,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4846
7177,"NA","BRITISH COLUMBIA","BRENTWOOD BAY","NA","6e36648",7177
7108,"NA","BRITISH COLUMBIA","HOUSTON","NA","6e36648",7108
1529,"NA","ONTARIO","KINGSTON","NA","dc35b695",1529
141,"NA","ONTARIO","TORONTO","NA","dc35b695",141
3855,"NA","ONTARIO","TORONTO","NA","dc35b695",3855
5111,"NA","BRITISH COLUMBIA","SECHELT","NA","6e36648",5111
7150,"NA","BRITISH COLUMBIA","BURNABY","NA","6e36648",7150
7504,"NA","ALBERTA","EDMONTON","NA","6e36648",7504
4819,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4819
7228,"NA","ALBERTA","CALGARY","NA","6e36648",7228
7194,"NA","BRITISH COLUMBIA","CHILLIWACK","NA","6e36648",7194
2100,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",2100
2030,"NA","ONTARIO","SCARBOROUGH","NA","dc35b695",2030
1198,"NA","ONTARIO","SARNIA","NA","dc35b695",1198
6903,"NA","ONTARIO","GLOUCESTER","NA","6e36648",6903
9609,"NA","ONTARIO","SCARBOROUGH","NA","6e36648",9609
7209,"NA","ALBERTA","HIGH PRAIRIE","NA","6e36648",7209
4854,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4854
7225,"NA","ALBERTA","BANFF","NA","6e36648",7225
7172,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7172
1404,"NA","ONTARIO","HAMILTON","NA","dc35b695",1404
75,"NA","ONTARIO","SCARBOROUGH","NA","dc35b695",75
1818,"NA","ONTARIO","HAMILTON","NA","dc35b695",1818
9994,"NA","ONTARIO","TORONTO","NA","6e36648",9994
8168,"NA","ONTARIO","TORONTO","NA","6e36648",8168
7205,"NA","ALBERTA","WESTLOCK","NA","6e36648",7205
4814,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4814
7292,"NA","ALBERTA","CALGARY","NA","6e36648",7292
7153,"NA","BRITISH COLUMBIA","RICHMOND","NA","6e36648",7153
3756,"NA","ONTARIO","BRAMPTON","NA","dc35b695",3756
59,"NA","ONTARIO","TORONTO","NA","dc35b695",59
1412,"NA","ONTARIO","BRANTFORD","NA","dc35b695",1412
6922,"NA","ONTARIO","OAKVILLE","NA","6e36648",6922
7277,"NA","ALBERTA","CALGARY","NA","6e36648",7277
281,"NA","ONTARIO","BRACEBRIDGE","NA","dc35b695",281
745,"NA","ONTARIO","TORONTO","NA","dc35b695",745
7259,"NA","ALBERTA","CALGARY","NA","6e36648",7259
6966,"NA","ONTARIO","NEWMARKET","NA","6e36648",6966
202,"NA","ONTARIO","HAMILTON","NA","dc35b695",202
7303,"NA","SASKATCHEWAN","SASKATOON","NA","6e36648",7303
1792,"NA","ONTARIO","LONDON","NA","dc35b695",1792
8524,"NA","ONTARIO","DOWNSVIEW","NA","235704e1",8524
9401,"NA","NOVA SCOTIA","ATLANTIC","NA","4d8ba31a",9401
2394,"NA","ONTARIO","DOWNSVIEW","NA","dc35b695",2394
4823,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4823
7185,"NA","BRITISH COLUMBIA","KELOWNA","NA","6e36648",7185
7105,"NA","BRITISH COLUMBIA","ABBOTSFORD","NA","6e36648",7105
1535,"NA","ONTARIO","KINGSTON","NA","dc35b695",1535
1016,"NA","ONTARIO","GUELPH","NA","dc35b695",1016
4804,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4804
5109,"NA","ALBERTA","INNISFAIL","NA","6e36648",5109
7138,"NA","BRITISH COLUMBIA","VERNON","NA","6e36648",7138
890,"NA","ONTARIO","TORONTO","NA","dc35b695",890
4895,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4895
7222,"NA","ALBERTA","BLAIRMORE","NA","6e36648",7222
7183,"NA","BRITISH COLUMBIA","MISSION","NA","6e36648",7183
638,"NA","ONTARIO","PETAWAWA","NA","dc35b695",638
2436,"NA","ONTARIO","HAMILTON","NA","dc35b695",2436
2329,"NA","ONTARIO","SUDBURY","NA","dc35b695",2329
6960,"NA","ONTARIO","NEPEAN","NA","6e36648",6960
9603,"NA","ONTARIO","TORONTO","NA","6e36648",9603
1073,"NA","ONTARIO","LONDON","NA","dc35b695",1073
3467,"NA","ONTARIO","BRAMPTON","NA","dc35b695",3467
4820,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4820
7107,"NA","BRITISH COLUMBIA","FRASER LAKE","NA","6e36648",7107
7157,"NA","BRITISH COLUMBIA","SURREY","NA","6e36648",7157
7201,"NA","ALBERTA","MAYERTHORPE","NA","6e36648",7201
372,"NA","ONTARIO","CHATHAM","NA","dc35b695",372
8595,"NA","BRITISH COLUMBIA","VICTORIA","NA","235704e1",8595
5004,"NA","ONTARIO","PICKERING","NA","b2e9116e",5004
7131,"NA","BRITISH COLUMBIA","SURREY","NA","6e36648",7131
7207,"NA","ALBERTA","HIGH PRAIRIE","NA","6e36648",7207
4994,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4994
7275,"NA","ALBERTA","CALGARY","NA","6e36648",7275
7119,"NA","BRITISH COLUMBIA","BURNABY","NA","6e36648",7119
2410,"NA","ONTARIO","BURLINGTON","NA","dc35b695",2410
810,"NA","ONTARIO","RICHMOND HILL","NA","dc35b695",810
3970,"NA","ONTARIO","VANCOUVER","NA","dc35b695",3970
5105,"NA","ONTARIO","MOUNT FOREST","NA","6e36648",5105
9604,"NA","ONTARIO","PETERBOROUGH","NA","6e36648",9604
1057,"NA","ONTARIO","LONDON","NA","dc35b695",1057
980,"NA","ONTARIO","BRAMPTON","NA","dc35b695",980
4950,"NA","MANITOBA","SELKIRK","NA","dc35b695",4950
7160,"NA","BRITISH COLUMBIA","VERNON","NA","6e36648",7160
7152,"NA","BRITISH COLUMBIA","SURREY","NA","6e36648",7152
662,"NA","ONTARIO","RENFREW","NA","dc35b695",662
1107,"NA","ONTARIO","CAMBRIDGE","NA","dc35b695",1107
4937,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4937
9101,"NA","NOVA SCOTIA","ATLANTIC","NA","4d8ba31a",9101
9602,"NA","ONTARIO","SCARBOROUGH","NA","6e36648",9602
7244,"NA","ALBERTA","SHERWOOD PARK","NA","6e36648",7244
7251,"NA","ALBERTA","EDMONTON","NA","6e36648",7251
7267,"NA","ALBERTA","FORT MACLEOD","NA","6e36648",7267
7118,"NA","BRITISH COLUMBIA","BURNABY","NA","6e36648",7118
2428,"NA","ONTARIO","OAKVILLE","NA","dc35b695",2428
3053,"NA","ONTARIO","LONDON","NA","dc35b695",3053
2402,"NA","ONTARIO","STREETSVILLE","NA","dc35b695",2402
7135,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7135
7164,"NA","BRITISH COLUMBIA","SURREY","NA","6e36648",7164
7249,"NA","ALBERTA","ST. ALBERT","NA","6e36648",7249
2303,"NA","ONTARIO","BRADFORD","NA","dc35b695",2303
7282,"NA","ALBERTA","CALGARY","NA","6e36648",7282
7401,"NA","MANITOBA","ALTONA","NA","6e36648",7401
8135,"NA","ONTARIO","NEPEAN","NA","6e36648",8135
3962,"NA","ONTARIO","MOHAWK TERRITORY","NA","dc35b695",3962
8568,"NA","BRITISH COLUMBIA","PARKSVILLE","NA","235704e1",8568
8146,"NA","ONTARIO","WINDSOR","NA","6e36648",8146
8103,"NA","ONTARIO","TORONTO","NA","6e36648",8103
1883,"NA","ONTARIO","WINGHAM","NA","dc35b695",1883
869,"NA","ONTARIO","WESTON","NA","dc35b695",869
4838,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4838
7114,"NA","BRITISH COLUMBIA","CHEMAINUS","NA","6e36648",7114
7110,"NA","BRITISH COLUMBIA","COQUITLAM","NA","6e36648",7110
7256,"NA","ALBERTA","HINTON","NA","6e36648",7256
67,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",67
8559,"NA","ONTARIO","SAULT STE. MARIE","NA","235704e1",8559
9302,"NA","ONTARIO","TORONTO","NA","4d8ba31a",9302
9608,"NA","ONTARIO","BARRIE","NA","6e36648",9608
1859,"NA","ONTARIO","LONDON","NA","dc35b695",1859
2345,"NA","ONTARIO","WOODBRIDGE","NA","dc35b695",2345
4903,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4903
7106,"NA","BRITISH COLUMBIA","BURNS LAKE","NA","6e36648",7106
7174,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7174
7163,"NA","BRITISH COLUMBIA","BURNABY","NA","6e36648",7163
2493,"NA","ONTARIO","GUELPH","NA","dc35b695",2493
8543,"NA","ONTARIO","GLOUCESTER","NA","235704e1",8543
9301,"NA","NOVA SCOTIA","ATLANTIC","NA","4d8ba31a",9301
7154,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7154
7217,"NA","ALBERTA","ATHABASCA","NA","6e36648",7217
117,"NA","ONTARIO","THORNHILL","NA","dc35b695",117
7264,"NA","ALBERTA","CALGARY","NA","6e36648",7264
7304,"NA","SASKATCHEWAN","SASKATOON","NA","6e36648",7304
6923,"NA","ONTARIO","WELLAND","NA","6e36648",6923
315,"NA","ONTARIO","OTTAWA","NA","dc35b695",315
8592,"NA","NEW BRUNSWICK","FREDERICTON","NA","235704e1",8592
7219,"NA","ALBERTA","WHITECOURT","NA","6e36648",7219
7278,"NA","ALBERTA","EDMONTON","NA","6e36648",7278
232,"NA","ONTARIO","BRACEBRIDGE","NA","dc35b695",232
8123,"NA","ONTARIO","WINDSOR","NA","6e36648",8123
604,"NA","ONTARIO","TORONTO","NA","dc35b695",604
380,"NA","ONTARIO","NEPEAN","NA","dc35b695",380
8167,"NA","ONTARIO","ATIKOKAN","NA","6e36648",8167
108,"NA","ONTARIO","KINGSTON","NA","dc35b695",108
8626,"NA","NEWFOUNDLAND","CLARENVILLE","NA","235704e1",8626
8520,"NA","SASKATCHEWAN","SASKATOON","NA","235704e1",8520
8540,"NA","ONTARIO","HAMILTON","NA","235704e1",8540
7233,"NA","ALBERTA","SHERWOOD PARK","NA","6e36648",7233
4812,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4812
7231,"NA","ALBERTA","AIRDRIE","NA","6e36648",7231
7189,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7189
1420,"NA","ONTARIO","HAMILTON","NA","dc35b695",1420
356,"NA","ONTARIO","PEMBROKE","NA","dc35b695",356
1834,"NA","ONTARIO","ACTON","NA","dc35b695",1834
5101,"NA","ONTARIO","PORT HOPE","NA","6e36648",5101
7175,"NA","BRITISH COLUMBIA","PRINCE GEROGE","NA","6e36648",7175
1263,"NA","ONTARIO","WHITBY","NA","dc35b695",1263
6912,"NA","ONTARIO","WOODSTOCK","NA","6e36648",6912
7266,"NA","ALBERTA","PINCHER CREEK","NA","6e36648",7266
8196,"NA","ONTARIO","MEAFORD","NA","6e36648",8196
1347,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",1347
7241,"NA","ALBERTA","STONY PLAIN","NA","6e36648",7241
1305,"NA","ONTARIO","OTTAWA","NA","dc35b695",1305
8604,"NA","SASKATCHEWAN","REGINA","NA","235704e1",8604
8756,"NA","MANITOBA","TRACADIE-SHEILA","NA","4d8ba31a",8756
7223,"NA","ALBERTA","PONOKA","NA","6e36648",7223
1594,"NA","ONTARIO","GODERICH","NA","dc35b695",1594
