collector_key,trans_dt,store_location_key,product_key,sales,units,trans_key
1.37314E+11,12/1/2015,8142,77401677487,35.58,1,1.76204E+26
-1,9/14/2015,8142,1E+15,7.32,1,4.14258E+24
-1,9/6/2015,8142,5800031056,11.55,1,1.72284E+26
1.34587E+11,6/17/2015,8142,4.0058E+12,12.98,1,2.89248E+25
-1,10/31/2015,8142,3980003678,42.68,2,1.74757E+26
-1,12/27/2015,8142,1E+15,0,1,3.65888E+25
-1,10/13/2015,8142,1E+15,0,1,4.27868E+24
-1,11/11/2015,8142,6565622220,10.66,1,4.43708E+24
-1,11/16/2015,8142,77105880050,3.19,1,3.48488E+25
-1,7/5/2015,8142,1E+15,0,1,1.69795E+26
-1,10/5/2015,8142,41410000216,49.84,1,1.73591E+26
-1,9/24/2015,8142,5650035775,14.22,1,4.19328E+24
-1,12/5/2015,8142,6170091252,26.68,1,1.76406E+26
-1,12/31/2015,8142,6260095924,48.04,1,4.66868E+24
-1,11/11/2015,8142,4203710305,22.23,1,3.46218E+24
-1,9/4/2015,8142,1E+15,47.72,1,4.10878E+24
-1,11/28/2015,8142,1E+15,0,1,4.51608E+24
-1,8/28/2015,8142,1E+15,0,1,3.15138E+24
-1,5/15/2015,8142,1E+15,0,1,3.53618E+24
-1,4/4/2015,8142,1E+15,0,1,3.30008E+24
-1,7/10/2015,8142,1E+15,0,1,1.7014E+26
-1,5/23/2015,8142,3700028252,11.2,1,1.68226E+26
-1,8/28/2015,8142,1E+15,0,1,4.06888E+24
-1,7/9/2015,8142,1E+15,14.63,2,3.81578E+24
-1,4/20/2015,8142,7094201840,9.77,1,3.38968E+24
-1,11/23/2015,8142,78616265003,5.14,1,1.75819E+26
-1,5/5/2015,8142,3700018145,11.55,1,3.48018E+24
-1,6/24/2015,8142,77105810231,16.89,1,2.91968E+24
-1,8/22/2015,8142,1E+15,0,1,1.7156E+26
-1,4/30/2015,8142,6285176400,2.47,1,2.69638E+25
-1,9/10/2015,8142,6714000433,14.22,1,1.72485E+26
-1,12/7/2015,8142,80490600302,5.34,1,3.56778E+24
-1,7/9/2015,8142,6490040941,5.86,1,1.70056E+26
-1,8/26/2015,8142,77105840234,3.01,1,1.71899E+26
-1,12/12/2015,8142,77105810220,14.22,1,3.58948E+25
-1,6/25/2015,8142,41600077789,0,1,1.69416E+25
-1,10/5/2015,8142,6290066190,30.24,1,1.73575E+26
-1,1/30/2016,8142,6700000462,5.32,1,3.79558E+25
-1,7/7/2015,8142,1E+15,39.69,1,3.80678E+24
-1,12/5/2015,8142,7830006921,10.66,1,3.56158E+25
1.37276E+11,11/8/2015,8142,81408111030,10.66,1,1.75166E+26
-1,10/30/2015,8142,1E+15,0,1,3.41608E+24
-1,12/2/2015,8142,7830007014,11.2,1,4.53468E+24
-1,12/4/2015,8142,6349108331,15.13,1,1.76343E+26
-1,9/1/2015,8142,6700000463,9.93,2,3.16468E+24
-1,7/11/2015,8142,1E+15,58.01,1,3.82608E+24
-1,3/31/2015,8142,1E+15,0,1,3.28028E+24
-1,11/6/2015,8142,7000061910,9.77,1,3.44438E+24
-1,6/13/2015,8142,1E+15,0,1,2.87158E+25
-1,10/17/2015,8142,4319418500,7.1,1,3.37888E+25
-1,10/2/2015,8142,1E+15,0,1,4.23308E+24
1.34501E+11,12/30/2015,8142,1E+15,7.32,1,4.66308E+24
1.3731E+11,9/19/2015,8142,5770021957,3.19,1,3.25718E+25
-1,10/8/2015,8142,80490600302,16.02,3,1.73782E+26
-1,12/6/2015,8142,1E+15,0,1,1.76431E+26
-1,4/27/2015,8142,77105804865,46.26,1,1.67533E+25
-1,12/14/2015,8142,77105811371,29.17,11,1.76847E+26
1.40208E+11,5/21/2015,8142,77917013730,52.49,1,3.55998E+24
-1,4/30/2015,8142,41410000216,49.84,1,1.67612E+26
-1,8/14/2015,8142,80490600305,26.7,5,3.11598E+25
-1,1/18/2016,8142,1E+15,0,1,4.74708E+24
1.40202E+11,4/16/2015,8142,6700000320,4.61,1,1.67257E+26
-1,7/5/2015,8142,3660207917,9.77,1,1.69793E+26
-1,7/16/2015,8142,77105890004,9.77,1,2.99918E+24
1.34407E+11,7/22/2015,8142,3700030662,20.45,1,1.70429E+25
-1,12/22/2015,8142,1E+15,116.04,1,4.62868E+24
-1,9/9/2015,8142,1E+15,36.51,1,4.12418E+23
-1,7/19/2015,8142,5650008806,25.79,1,3.86398E+24
-1,8/1/2015,8142,77105840224,3.54,1,3.07518E+25
-1,7/9/2015,8142,1E+15,124.23,1,3.81668E+24
-1,11/5/2015,8142,77105810927,12.98,1,1.75014E+25
-1,5/14/2015,8142,77105840016,6.75,1,2.76218E+25
-1,12/1/2015,8142,1E+15,3.56,1,4.52558E+23
-1,7/22/2015,8142,62792566661,17.8,1,3.02858E+23
-1,11/2/2015,8142,6700000427,6.03,1,1.74888E+26
-1,6/9/2015,8142,2270046975,13.87,1,1.68862E+26
-1,4/25/2015,8142,1204404026,17.78,1,2.67378E+24
-1,9/14/2015,8142,1E+15,7.32,1,4.14258E+24
-1,9/13/2015,8142,7830007021,17.78,1,1.72614E+26
-1,9/22/2015,8142,80490600504,8.9,1,1.73006E+26
-1,5/16/2015,8142,5800031006,13.87,1,1.68077E+26
-1,12/27/2015,8142,1E+15,0,1,3.65988E+25
-1,4/25/2015,8142,1E+15,7.32,1,3.42118E+24
-1,1/23/2016,8142,2120072977,6.75,1,4.77468E+24
-1,11/11/2015,8142,1E+15,0,1,4.43588E+24
-1,4/25/2015,8142,1E+15,0,1,3.42098E+24
-1,5/1/2015,8142,62785200005,1.78,1,2.70198E+25
-1,10/31/2015,8142,1E+15,0,1,4.38158E+24
-1,12/8/2015,8142,1E+15,0,1,4.56578E+24
-1,12/6/2015,8142,7940035038,20.45,1,3.56518E+25
-1,10/13/2015,8142,1E+15,0,1,4.27808E+24
-1,8/10/2015,8142,4111600527,3.01,1,3.09308E+24
-1,3/31/2015,8142,77105840094,5.32,1,1.66837E+25
1.41125E+11,4/10/2015,8142,77105880122,3.52,2,2.60678E+24
-1,4/11/2015,8142,1E+15,7.32,1,3.34258E+24
1.3948E+11,5/23/2015,8142,84105803717,28.46,1,1.68223E+26
-1,5/25/2015,8142,6285152934,2.47,1,2.81168E+25
-1,8/11/2015,8142,80490600305,5.34,1,3.10178E+24
-1,7/24/2015,8142,1E+15,0,1,3.89258E+24
1.34512E+11,10/24/2015,8142,5770021957,3.19,1,3.39588E+25
-1,7/24/2015,8142,5610004598,8.53,1,1.70461E+25
-1,7/20/2015,8142,1E+15,0,2,3.86948E+24
-1,12/2/2015,8142,80490600305,5.34,1,1.76283E+26
-1,5/26/2015,8142,1E+15,0,7,3.58638E+24
-1,8/20/2015,8142,3700086341,32.02,1,4.02258E+24
-1,1/26/2016,8142,77105890003,2.12,1,1.78627E+26
-1,11/27/2015,8142,1E+15,0,1,3.53188E+24
-1,12/3/2015,8142,1E+15,0,1,4.53628E+24
-1,1/2/2016,8142,1E+15,48.1,1,4.67158E+24
-1,9/13/2015,8142,77105860237,14.2,2,3.21818E+25
-1,11/26/2015,8142,78616265003,5.14,1,3.52518E+24
-1,1/30/2016,8142,77105860140,7.1,1,4.80508E+24
-1,8/7/2015,8142,3156850492,35.58,1,1.71027E+26
1.34512E+11,10/24/2015,8142,6132834212,17.78,1,3.39578E+25
-1,5/9/2015,8142,72047366425,16,1,2.73868E+25
-1,6/30/2015,8142,77105880035,1.58,1,2.94958E+25
-1,8/22/2015,8142,62174534604,67.62,1,1.71561E+26
-1,4/28/2015,8142,80490600302,5.34,1,2.68678E+25
-1,1/30/2016,8142,1E+15,0,1,4.80258E+24
-1,7/10/2015,8142,7336164736,10.66,1,2.97538E+24
-1,5/25/2015,8142,1E+15,0,4,3.57738E+24
-1,10/24/2015,8142,77105810465,12.44,1,1.74419E+26
-1,11/11/2015,8142,7417034039,12.09,1,3.46618E+24
-1,12/9/2015,8142,1E+15,0,1,4.57068E+24
1.3456E+11,12/16/2015,8142,4740007371,42.7,1,1.76912E+25
-1,12/15/2015,8142,6349108331,15.13,1,1.76863E+25
-1,12/10/2015,8142,1E+15,0,1,4.57308E+24
1.41221E+11,9/4/2015,8142,77105810345,25.79,1,4.10958E+24
-1,9/15/2015,8142,1E+15,11.73,1,4.15038E+24
-1,6/11/2015,8142,5650002416,23.12,1,3.67328E+24
-1,11/14/2015,8142,1E+15,0,1,3.47588E+25
-1,10/7/2015,8142,1E+15,0,1,4.25608E+24
-1,12/15/2015,8142,1E+15,80.3,1,4.59728E+24
-1,6/12/2015,8142,1E+15,0,1,3.67468E+24
-1,11/27/2015,8142,1E+15,0,1,1.75996E+25
-1,11/25/2015,8142,1E+15,0,1,4.50008E+24
-1,10/5/2015,8142,5770022995,3.19,1,1.73568E+25
-1,10/29/2015,8142,7511008320,24.9,1,1.74656E+26
-1,10/30/2015,8142,1E+15,0,1,4.37508E+23
-1,6/17/2015,8142,6210700550,49.82,1,3.69938E+24
-1,6/18/2015,8142,7124912145,27.57,1,2.89688E+24
-1,6/7/2015,8142,1E+15,0,1,1.68717E+26
-1,9/11/2015,8142,1E+15,0,1,4.13448E+24
-1,7/11/2015,8142,6024525055,51.6,1,1.70161E+26
-1,5/8/2015,8142,41600000167,0.09,1,2.73348E+25
-1,11/5/2015,8142,5960006064,5.86,1,1.7504E+26
-1,7/13/2015,8142,5752171110,24.9,1,3.83368E+24
-1,4/25/2015,8142,3.41224E+12,19.56,1,3.41888E+24
-1,8/28/2015,8142,1E+15,0,1,4.06588E+23
-1,5/2/2015,8142,6285176400,2.47,1,2.70718E+25
-1,8/8/2015,8142,1E+15,0,1,3.09128E+25
-1,12/7/2015,8142,1E+15,0,1,4.55858E+24
-1,8/7/2015,8142,1E+15,0,1,1.70986E+26
-1,1/24/2016,8142,1125000024,8.88,1,1.78522E+26
-1,11/7/2015,8142,6170093252,26.68,1,1.75122E+26
-1,8/29/2015,8142,5849642353,7.64,1,1.7206E+26
-1,7/20/2015,8142,1E+15,14.83,1,3.87068E+24
-1,10/27/2015,8142,5639431013,46.26,1,4.35898E+24
-1,5/30/2015,8142,1E+15,0,1,2.82858E+24
-1,5/15/2015,8142,77105810488,19.56,1,2.77018E+25
-1,8/17/2015,8142,1E+15,8.9,1,4.00888E+24
-1,8/14/2015,8142,1E+15,21.61,1,3.99258E+24
-1,5/4/2015,8142,1150900164,12.98,1,3.47118E+24
-1,8/22/2015,8142,1E+15,0,1,1.71549E+26
-1,5/2/2015,8142,77105860257,5.32,1,3.46548E+24
-1,1/26/2016,8142,1E+15,0,1,4.78508E+24
-1,12/23/2015,8142,41410000221,17.36,1,1.77288E+25
-1,9/29/2015,8142,1E+15,64.77,1,4.21968E+24
-1,9/29/2015,8142,77105860095,6.21,1,4.21728E+24
1.41132E+11,5/17/2015,8142,7033060315,12.44,1,2.77688E+25
-1,10/16/2015,8142,1E+15,0,1,4.29758E+24
-1,12/10/2015,8142,6580006247,1.94,1,3.57678E+23
-1,11/26/2015,8142,77105810877,7.1,1,4.50568E+24
-1,10/1/2015,8142,77105810359,15.65,1,1.73385E+26
-1,5/8/2015,8142,6454131361,33.8,1,1.67849E+26
1.42807E+11,3/31/2015,8142,5770022997,6.37,2,2.56068E+24
-1,7/11/2015,8142,6120008445,3.36,1,1.70176E+26
-1,8/4/2015,8142,3165553007,10.31,1,1.70786E+26
-1,1/22/2016,8142,60308426020,14.22,1,1.78442E+26
1.4112E+11,9/28/2015,8142,77105810009,13.87,1,3.29808E+24
-1,4/30/2015,8142,77105806247,11.55,1,3.45298E+24
-1,4/2/2015,8142,80490600301,5.34,1,2.57578E+24
-1,8/6/2015,8142,1E+15,11.87,1,3.95468E+24
1.4112E+11,10/22/2015,8142,5770061849,8.15,2,4.32758E+24
-1,7/24/2015,8142,85172200078,14.76,1,3.03908E+24
-1,11/24/2015,8142,1E+15,0,1,4.49308E+24
-1,11/17/2015,8142,1E+15,0,1,1.75531E+25
-1,5/5/2015,8142,1E+15,55.02,1,3.47568E+24
-1,7/23/2015,8142,77105811218,11.2,1,1.70436E+25
-1,10/14/2015,8142,77105807138,19.56,1,1.73974E+26
-1,1/27/2016,8142,5847810697,30.24,1,3.77968E+23
-1,5/2/2015,8142,5847847252,13.87,1,3.46328E+24
-1,4/4/2015,8142,7732610140,13.87,1,2.57808E+25
-1,8/8/2015,8142,1E+15,0,1,3.96338E+24
-1,4/17/2015,8142,6260096191,32.91,1,3.37298E+23
-1,9/18/2015,8142,3700087096,10.66,1,3.25248E+24
-1,12/5/2015,8142,4.98719E+12,7.99,1,3.55958E+24
-1,12/21/2015,8142,6210000157,6.03,1,4.62678E+24
1.47843E+11,10/5/2015,8142,1E+15,0,1,1.73566E+25
-1,10/11/2015,8142,1E+15,0,1,3.35568E+25
-1,4/5/2015,8142,6009331854,24.9,1,1.66982E+26
-1,12/22/2015,8142,72047307475,11.55,1,3.63248E+25
-1,8/25/2015,8142,6700000175,5.86,1,1.71837E+26
-1,9/24/2015,8142,6800000113,3.19,1,1.731E+26
-1,9/17/2015,8142,1E+15,0,1,4.16178E+24
1.41175E+11,9/4/2015,8142,77105810094,31.13,1,4.10818E+24
1.42807E+11,10/26/2015,8142,4740013071,11.2,1,3.40388E+24
-1,4/9/2015,8142,1E+15,15.56,2,3.32668E+23
-1,10/4/2015,8142,4740015687,51.6,1,1.7354E+26
-1,7/16/2015,8142,41410000216,49.84,1,1.70263E+26
-1,10/1/2015,8142,4740013071,10.66,1,3.30998E+24
-1,11/20/2015,8142,60308424372,14.22,1,3.49818E+24
-1,4/19/2015,8142,1E+15,0,1,2.64718E+25
-1,5/8/2015,8142,6260006229,22.23,1,1.67813E+26
-1,7/5/2015,8142,80490600301,5.34,1,1.69813E+26
-1,11/1/2015,8142,1E+15,0,1,1.74831E+26
-1,11/12/2015,8142,1E+15,0.89,1,4.44168E+24
1.39486E+11,12/9/2015,8142,80490600302,5.34,1,3.57358E+23
-1,5/29/2015,8142,1E+15,0,1,1.68389E+26
-1,11/19/2015,8142,4740013190,26.68,1,1.75637E+25
-1,5/13/2015,8142,7094212536,4.79,1,2.75718E+25
-1,10/6/2015,8142,1E+15,7.32,1,4.24958E+23
-1,9/6/2015,8142,77105840234,3.01,1,1.7229E+26
-1,4/19/2015,8142,1E+15,0,2,3.38608E+24
-1,8/27/2015,8142,41410000221,17.36,1,4.06048E+23
-1,7/9/2015,8142,5849638665,7.64,1,3.81718E+24
-1,8/15/2015,8142,6349108331,15.13,1,3.12078E+25
-1,7/9/2015,8142,1E+15,0,4,3.81378E+24
-1,8/27/2015,8142,80490600305,10.68,2,3.14768E+24
-1,12/10/2015,8142,1E+15,0,1,4.57578E+24
-1,4/28/2015,8142,1E+15,0,1,1.67566E+26
-1,10/6/2015,8142,77105890009,14.22,1,3.33238E+24
-1,5/9/2015,8142,77105840354,7.1,1,3.50558E+24
-1,12/30/2015,8142,1E+15,0,-1,1.77523E+26
-1,4/23/2015,8142,1E+15,25.74,2,3.40738E+24
-1,4/9/2015,8142,1E+15,0,1,3.33298E+24
-1,8/17/2015,8142,1E+15,21.68,1,4.00348E+24
-1,7/16/2015,8142,6132834208,14.22,1,2.99918E+24
-1,8/27/2015,8142,1E+15,0,-1,3.14338E+23
-1,12/21/2015,8142,7116402985,6.21,1,3.63068E+24
-1,10/5/2015,8142,1E+15,0,1,4.24658E+24
-1,4/18/2015,8142,80490600302,5.34,1,1.67341E+26
-1,11/1/2015,8142,6210000000,5.32,1,3.42188E+24
-1,9/25/2015,8142,1E+15,0,1,3.28038E+24
-1,9/3/2015,8142,77105810491,7.1,1,3.18438E+24
-1,4/30/2015,8142,1E+15,124.56,2,3.44958E+24
-1,6/11/2015,8142,77105890016,4.24,2,2.86698E+25
-1,4/28/2015,8142,1E+15,7.32,1,3.43408E+23
-1,12/11/2015,8142,41410000215,24.92,1,1.76675E+26
-1,11/21/2015,8142,35388500866,17.78,1,4.48338E+24
-1,11/25/2015,8142,6700000462,5.32,1,1.75944E+26
1.34415E+11,4/22/2015,8142,77105811019,31.29,2,2.66448E+25
1.4133E+11,5/9/2015,8142,1E+15,0,1,3.50478E+24
-1,5/26/2015,8142,77105860024,5.32,1,2.81768E+25
-1,6/5/2015,8142,80490600201,3.56,1,1.686E+26
-1,12/23/2015,8142,1E+15,54.09,1,4.63568E+24
-1,10/25/2015,8142,1E+15,0,1,3.40118E+25
-1,8/19/2015,8142,1E+15,23.12,1,4.01888E+24
-1,6/8/2015,8142,6210700502,27.57,1,3.65148E+24
-1,5/28/2015,8142,4138800059,9.42,1,1.68308E+26
-1,6/6/2015,8142,1E+15,0,1,1.68651E+26
-1,11/30/2015,8142,1E+15,0,1,4.52018E+24
-1,12/10/2015,8142,5873832551,9.77,1,3.57748E+24
-1,11/22/2015,8142,6845991972,23.12,1,3.50828E+25
-1,4/2/2015,8142,1E+15,0,1,1.66872E+25
1.39486E+11,6/16/2015,8142,77105890009,14.22,1,2.88048E+24
-1,9/10/2015,8142,1E+15,0,-1,3.20178E+24
-1,7/10/2015,8142,77105880122,1.76,1,1.70098E+26
-1,9/29/2015,8142,77105810008,12.09,1,3.29968E+24
-1,10/20/2015,8142,80490600305,5.34,1,3.38868E+24
-1,7/21/2015,8142,1E+15,38.79,4,3.87248E+23
-1,8/26/2015,8142,1E+15,0,1,4.05948E+24
-1,7/9/2015,8142,1E+15,0,1,3.81758E+24
1.34507E+11,4/22/2015,8142,2270012993,21.34,1,1.6739E+25
-1,9/24/2015,8142,5610077433,15.65,1,1.73081E+25
-1,9/1/2015,8142,80490600503,8.9,1,3.16668E+24
-1,8/4/2015,8142,4740019248,10.66,1,1.70813E+26
-1,5/24/2015,8142,77105810776,29.35,1,3.57398E+24
-1,10/28/2015,8142,6343571103,3.19,1,3.40888E+23
-1,6/11/2015,8142,1E+15,7.32,1,3.67228E+24
-1,12/4/2015,8142,1E+15,0,1,4.54578E+24
-1,12/8/2015,8142,1E+15,39.94,1,4.56628E+24
-1,11/10/2015,8142,8307811115,8.53,1,1.75271E+26
-1,4/27/2015,8142,77105802272,8.53,1,1.67538E+25
-1,4/11/2015,8142,7099235056,23.12,1,3.34448E+24
-1,9/6/2015,8142,8390000626,4.97,1,4.11478E+24
-1,4/2/2015,8142,9.78037E+12,7.99,1,2.57598E+24
-1,4/8/2015,8142,6830525074,10.31,1,2.60028E+25
-1,7/9/2015,8142,77105860046,4.97,1,1.70062E+26
-1,8/10/2015,8142,77105810243,20.45,1,3.96908E+24
-1,7/30/2015,8142,5659481383,21.34,1,3.06728E+25
-1,9/18/2015,8142,30997861101,21.34,1,1.72751E+25
-1,8/14/2015,8142,1E+15,7.32,1,3.99128E+24
-1,1/13/2016,8142,7830007014,11.2,1,3.73258E+25
-1,10/3/2015,8142,1E+15,21.34,1,4.23698E+24
-1,7/8/2015,8142,77105810398,9.42,1,3.80878E+24
-1,8/17/2015,8142,77105811062,7.99,1,3.13308E+25
-1,12/28/2015,8142,7094212123,7.1,1,3.66268E+25
-1,5/16/2015,8142,77105810243,20.45,1,2.77288E+25
-1,12/21/2015,8142,62058445677,23.12,1,1.7716E+25
-1,8/30/2015,8142,5770024354,10.31,1,1.72066E+26
-1,8/26/2015,8142,80490600305,5.34,1,1.7186E+26
-1,7/10/2015,8142,41410000215,24.92,1,1.70137E+26
-1,12/21/2015,8142,1E+15,76.17,1,4.62128E+24
-1,8/7/2015,8142,1E+15,53.38,1,3.95728E+24
1.41161E+11,4/4/2015,8142,69907370825,153.06,1,3.30228E+24
-1,10/11/2015,8142,77105810524,9.77,1,1.73874E+26
-1,9/2/2015,8142,77105810485,9.77,1,4.09218E+24
-1,9/13/2015,8142,77105880123,1.76,1,4.14188E+24
-1,11/20/2015,8142,5847811094,40.92,1,1.75688E+26
-1,7/21/2015,8142,3700089086,20.45,1,3.02278E+24
1.34527E+11,10/24/2015,8142,1E+15,0,1,3.39568E+25
-1,5/6/2015,8142,3700063704,15.65,1,2.72798E+25
-1,5/1/2015,8142,72047345579,5.32,1,2.70278E+25
1.37312E+11,4/29/2015,8142,1E+15,7.32,1,3.44458E+24
-1,4/18/2015,8142,6081504293,24.88,2,2.63928E+24
-1,6/13/2015,8142,6260014232,28.46,1,1.69031E+26
-1,12/22/2015,8142,77105860192,13.33,1,1.77253E+25
-1,12/8/2015,8142,6490040965,4.97,1,1.76503E+25
-1,4/13/2015,8142,1E+15,0,2,3.35228E+24
-1,9/14/2015,8142,1E+15,0,1,4.14218E+23
-1,10/1/2015,8142,6210790431,32.02,1,4.22648E+24
-1,8/27/2015,8142,1E+15,5.34,1,3.14788E+24
-1,8/5/2015,8142,6210718960,32.02,1,3.94578E+24
-1,4/29/2015,8142,38137003662,16.89,1,1.67593E+26
-1,5/26/2015,8142,77105840175,32.91,1,2.81818E+25
-1,8/5/2015,8142,1E+15,0,1,3.94708E+24
-1,9/15/2015,8142,1E+15,35.6,3,3.23208E+24
-1,11/1/2015,8142,80490600502,8.9,1,1.74831E+26
-1,11/3/2015,8142,77105810422,14.22,1,1.74917E+25
-1,10/20/2015,8142,6700000464,5.32,1,1.74236E+25
-1,10/9/2015,8142,5849689900,4.97,1,1.73813E+26
-1,10/3/2015,8142,62174534604,67.62,1,4.23888E+24
-1,9/14/2015,8142,5610007505,22.23,1,3.22708E+25
-1,4/12/2015,8142,41410000215,24.92,1,1.67184E+26
-1,5/28/2015,8142,89299200231,9.77,1,1.68298E+26
1.4112E+11,6/19/2015,8142,77105880046,2.65,1,1.6921E+25
1.41241E+11,9/30/2015,8142,77105840234,3.01,1,3.30428E+24
-1,1/21/2016,8142,1E+15,7.32,1,1.78341E+25
-1,8/4/2015,8142,5650012055,14.22,1,3.07668E+25
-1,9/4/2015,8142,1E+15,0,1,4.10598E+24
-1,10/7/2015,8142,6363600600,12.44,1,4.25588E+24
-1,4/17/2015,8142,1E+15,0,1,1.67299E+26
-1,10/29/2015,8142,75167201052,33.8,1,1.74653E+26
-1,8/1/2015,8142,5854201046,5.32,1,3.93388E+23
-1,9/15/2015,8142,5800000342,6.75,1,3.23388E+25
-1,8/29/2015,8142,1E+15,50.53,1,4.07618E+24
-1,12/4/2015,8142,1E+15,0,1,4.54278E+24
1.39473E+11,11/19/2015,8142,77105890051,7.1,1,3.49518E+24
-1,12/13/2015,8142,1E+15,0,1,4.58828E+24
-1,6/13/2015,8142,1E+15,33.18,1,3.67948E+24
-1,6/13/2015,8142,77105840074,7.99,1,1.69046E+26
-1,9/17/2015,8142,5659400430,16.89,1,4.16288E+24
-1,12/28/2015,8142,77105840016,7.1,1,1.77415E+26
1.39482E+11,4/11/2015,8142,1E+15,0,1,3.34228E+24
-1,7/31/2015,8142,7418228301,14.76,1,3.07058E+25
-1,10/22/2015,8142,1E+15,0,1,4.32668E+24
-1,11/30/2015,8142,77105810448,9.42,1,3.54318E+24
1.34594E+11,10/25/2015,8142,6454131886,51.6,1,1.74473E+26
-1,4/28/2015,8142,1E+15,81.63,1,3.43838E+24
-1,4/8/2015,8142,1E+15,0,-1,2.59948E+25
-1,4/28/2015,8142,76379594011,6.57,1,2.68808E+25
-1,12/15/2015,8142,77105810345,26.68,1,1.76864E+25
-1,9/30/2015,8142,77105890003,2.12,1,3.30438E+24
-1,5/15/2015,8142,1E+15,0,1,3.53748E+24
-1,5/29/2015,8142,5847847263,17.78,1,2.82678E+24
1.42807E+11,9/4/2015,8142,77105840328,51.6,1,4.10308E+24
-1,8/18/2015,8142,1E+15,0,1,3.13428E+23
-1,8/21/2015,8142,80490600302,5.34,1,1.71495E+25
-1,7/15/2015,8142,41410000221,17.36,1,2.99258E+24
-1,10/14/2015,8142,6700010668,6.03,1,3.36448E+24
-1,12/26/2015,8142,5847811094,40.92,1,4.64708E+24
-1,4/5/2015,8142,5980000055,2.3,1,1.66954E+26
-1,12/15/2015,8142,1E+15,7.32,1,4.59908E+24
-1,11/25/2015,8142,1E+15,0,1,4.49958E+24
-1,1/17/2016,8142,5800031208,6.21,1,3.75018E+25
-1,7/15/2015,8142,41410000222,69.42,2,2.99258E+24
-1,11/5/2015,8142,5847810775,10.66,1,3.43418E+24
-1,9/2/2015,8142,77105810096,55.16,1,1.72151E+25
-1,9/23/2015,8142,77105890007,0.87,1,3.27048E+23
-1,6/26/2015,8142,77105811292,21.34,1,1.69499E+26
1.41218E+11,4/27/2015,8142,6574332809,39.14,1,2.67788E+25
-1,5/16/2015,8142,1E+15,0,1,2.77338E+25
